token,group,controller,ann_vol,rolling_vol_14,rolling_dd_14,worst_day_pct,max_drawdown,expected_shortfall_5,drift_preservation,terminal_log_excess,rolling_vol_reduction,rolling_dd_reduction,worst_day_reduction,avg_lock,peak_lock,avg_tax,reserve_depletion
AR,BME/DePIN,SRF (no tax),1.0422365447185047,0.9941945591614496,0.15644477442451848,0.21045080202061447,0.7009140209725164,-0.1311921597159946,0.7837594559296902,0.573924208823028,0.18721427230944399,0.2291937510513235,0.14177007893287064,0.18840799934045746,0.55,0.0,0.9992528863446557
AR,BME/DePIN,Full SRF,1.0920947471573492,1.0520200784544707,0.14883267081739676,0.22857736444022764,0.6199316887409073,-0.13659761204985527,0.9461087304250302,0.7182418461627864,0.13997196090962838,0.26522655725856875,0.07589043777421693,0.19837246918608734,0.55,0.025996472142983305,0.6386279774680867
AAVE,DeFi-volatile,No intervention,1.023805263784606,0.945909037949615,0.15839058127355388,0.18956928201330894,0.7349989312771015,-0.1320878389318953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAVE,DeFi-volatile,Lock-only,0.8083735233821454,0.7642447253778949,0.12845634814690582,0.1637456814231,0.6401909405041084,-0.10075545226846241,0.4418966337840063,0.27050758755069393,0.1915978906450217,0.18759544760254773,0.1373594557031455,0.1626954041361526,0.55,0.0,0.0
AAVE,DeFi-volatile,PD,1.0521673118744828,0.9844446436874928,0.15400021503567868,0.19085587499970055,0.6913023107981002,-0.1342647844875177,0.10973104513088709,-0.02031561626212306,-0.040961369415541,0.027816330496038037,-0.009127935261903175,0.0,0.0,0.0,0.9729581102830144
AAVE,DeFi-volatile,SRF (no tax),0.83693221720939,0.8037795797754793,0.12353127985963497,0.1629748195150838,0.575238189083191,-0.10342368012938341,0.5362840258992286,0.3216005341257985,0.14941822267296107,0.21827163958680823,0.13819442868776805,0.17370626316840945,0.55,0.0,0.9818862368547098
AAVE,DeFi-volatile,Full SRF,0.8845139770732862,0.8572647492045569,0.11952089775694127,0.1789586274487987,0.5069578134878213,-0.10787333552845493,0.581454958486286,0.3430904247059979,0.09296458625510025,0.24236425903679995,0.059881122410315304,0.18352912365655843,0.55,0.016243578712655506,0.1983273250149015
COMP,DeFi-volatile,No intervention,1.1468958335924926,1.0571924541789817,0.1794816167389111,0.21272570036459273,0.8055041079176833,-0.1499263372268132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COMP,DeFi-volatile,Lock-only,0.8938469056502907,0.8438350745634928,0.14431602764530788,0.1826130256270462,0.7122820201586413,-0.11263916693904248,0.5712060374904212,0.40240152386845535,0.20135963598400788,0.194598907344884,0.14310845373936082,0.17138138025895328,0.55,0.0,0.0
COMP,DeFi-volatile,PD,1.1691728202567786,1.08960882703186,0.17504199111018448,0.214385113259482,0.7799537405832319,-0.1510431956290041,0.06744297337359491,0.04267057845027298,-0.030749376436172475,0.025060286086909515,-0.009968898945167712,0.0,0.0,0.0,0.9985343775838322
